san josé,2.1331886997123,8.96712729330755,19.4349856152431,21.8403056171296,17.6069424138094
escazú,1.68936553884117,8.38039197076828,18.5379395434917,15.4652873345039,14.8958382764675
desamparados,2.24252547863311,10.1961871656669,24.7881570849874,23.3943558149443,17.1963021322928
puriscal,4.89210448828503,14.1000294451689,29.609220544315,16.6491397804232,13.6541454591343
tarrazú,5.50544034223008,19.5387333767321,39.0495675625407,13.5404073281875,9.49502464428532
aserrí,2.94176405953451,13.4976525821596,32.8738387773449,20.4450104884627,13.9271801018879
mora,2.8592452433512,12.0046252496584,27.0945022600652,16.3092610112478,15.7941763902029
goicoechea,1.66032923171394,8.23197373703975,20.716326964408,22.1629153775301,18.0309865142533
santa ana,1.96177062374245,9.19405320813772,19.1202772188688,16.4458976078694,15.3392577688352
alajuelita,2.69545907037292,11.7064859483881,28.6028792403706,26.5927712688567,16.2378436327437
vázquez de coronado,1.68463307924767,8.60809165125615,20.7771413107212,19.8728068197195,17.3424744035001
acosta,6.23658990130167,17.8944357030468,37.0404806179373,15.1408954369904,11.5005006436847
tibás,1.77346698591778,7.88929020737795,17.0488210705734,19.7110506878779,18.3028286189684
moravia,1.18197776477472,6.77121123464014,16.4330017554125,17.6079578700995,17.2709186658865
montes de oca,1.02426964024421,4.85645088046824,11.5369090266916,12.7705736919118,17.0316363085928
turrubares,7.81990521327014,21.3006845708267,34.2812006319115,15.4291732490785,9.61032122169563
dota,4.43402259646131,18.5035173736943,36.4954167554892,14.0268599445747,10.4881688339373
curridabat,1.65407684906549,8.62658396282421,16.7598108456673,16.3073962619501,15.1159696206678
pérez zeledón,4.54337108296348,18.2059050408613,34.1490681841049,16.1019128218314,10.414873279746
león cortés castro,4.89189515641986,18.1906027297983,44.7034666022467,12.9121874622539,9.20401014615292
alajuela,2.82066508313539,12.2179334916865,27.2906219758951,19.631938946072,14.2561801706695
san ramón,3.94342732573596,15.1977030643532,27.2052177303582,18.0600109884267,12.2290555270014
grecia,3.91478277049028,16.6769001767606,28.1477346729928,17.0248395199553,12.1815982882129
san mateo,3.84439359267735,18.604118993135,31.350114416476,17.9633867276888,12.8604118993135
atenas,2.95439948619139,15.0181973881396,27.2157996146435,16.4311710554485,12.2350674373796
naranjo,4.14195234744144,16.8928655205925,28.5211621594451,19.3894306491069,12.4258570423243
palmares,2.64961351502112,13.1922862379472,27.532074268866,19.0413578771217,11.9850187265918
poás,4.1674906070793,16.8331026300178,34.0023729483884,16.8973699822029,10.2086217124778
orotina,5.28681506849315,16.2100456621005,26.5553652968036,20.5550799086758,13.6986301369863
san carlos,7.22873487761418,19.5948607333771,29.1756541311076,18.3653755978618,11.1825940166932
zarcero,3.57689139898812,17.5432403812213,32.6861983762796,16.0371808448053,12.4249911754324
valverde vega,4.45697942321443,18.0185906093589,31.0796853896878,17.359180106459,11.9408913958846
upala,10.6210055783368,22.826849902102,31.5563929217925,17.3667294691344,8.11260113044442
los chiles,15.2972935557555,25.3962760434692,27.2236450474147,16.8616321727694,7.41330380009691
guatuso,9.68683919041386,22.8174403383345,34.1456046722384,16.2924176820058,8.80072500251737
cartago,2.38059150072943,10.7642901801785,28.5869915310434,18.6165476213031,13.6583240181126
paraíso,3.1672731835864,14.5915422261262,37.8341071652654,17.0234659304806,10.5910402810892
la unión,2.15890332304601,10.2619679896648,23.7177922916816,20.1693820426326,15.4769252852939
jiménez,5.18410852713178,17.296511627907,41.25,13.5368217054264,9.60271317829457
turrialba,6.16410423718445,16.2493373027201,31.589250030586,17.2484808939277,10.4176012397537
alvarado,3.89294403892944,17.5689375506894,46.2287104622871,13.9294403892944,8.34347120843471
oreamuno,3.27220538988997,14.5303779301547,32.3680433742625,17.5251156115452,11.4750438526551
el guarco,2.47682302476823,12.7577141275771,34.1289608412896,17.3204649232046,11.3428808634288
heredia,1.53188300381318,7.05768255857524,17.6298794330931,18.7914655381428,17.6684520267143
barva,1.94840461642906,8.46911065852003,20.4548540393754,18.5641547861507,15.9063136456212
santo domingo,1.4377526005433,7.8910753329358,20.4565030146425,16.8289935731796,16.1995627111906
santa bárbara,2.4522948972057,11.771792779138,27.1073802028681,18.6584275776301,16.3615871905484
san rafael,1.93171202121568,9.51089413253775,21.3241720157912,19.3231473947503,15.890666907754
san isidro,2.17089152160964,10.1528890065524,23.5488781520948,17.4002250314382,14.9910649281885
belén,1.58179716493277,8.2070937519012,20.6667883433717,16.1951694348117,16.846139806534
flores,1.4282799428688,7.48826770046929,19.6082432156703,17.1257566483031,16.9013126572808
san pablo,1.41995720676911,6.82746547364326,15.5854892044349,16.2468391363548,16.4316280879206
sarapiquí,9.60850080329209,24.7357591814876,31.2325601059782,18.5377265424617,7.83562107161983
liberia,3.68809523809524,13.1190476190476,21.9095238095238,22.8285714285714,15.0071428571429
nicoya,4.0557915921288,15.7787343470483,26.8140652951699,17.7716905187835,16.3741055456172
santa cruz,2.99314448324926,14.2051481050317,23.8468503427758,19.9637821756564,15.3615314965722
bagaces,6.38098948188547,20.3583950136346,28.624853915076,19.6961433580055,10.821971172575
carrillo,3.41081556034827,15.3686396677051,26.1282850067897,22.0345075485262,14.7016534867002
cañas,5.40679711637487,19.0525231719876,24.8769882137544,20.7403593088454,13.0678567341801
abangares,6.65135733617649,22.1110473222341,28.4835561387681,19.2733535635201,10.8422865578611
tilarán,5.86067084408404,19.3291559159602,27.7552524880206,17.6778474014007,13.0704017692591
nandayure,5.55194383045118,19.7633597711611,34.7419061240411,16.1747497074503,11.5199583929268
