Buenos Aires,22.5,19.4
Montes de Oro,34.7,36.0
Montes de Oro,23.3,26.0
Montes de Oro,11.6,12.9
Osa,25.4,25.1
Osa,17.0,17.0
Osa,19.7,18.6
Aguirre,27.4,26.0
Aguirre,22.8,20.8
Aguirre,16.7,13.6
Golfito,27.4,24.0
Golfito,19.1,15.4
Golfito,19.8,20.5
Coto Brus,24.2,25.1
Coto Brus,16.3,16.3
Coto Brus,20.6,20.2
Parrita,22.0,29.4
Parrita,16.2,23.7
Parrita,16.3,12.2
Corredores,29.3,25.8
Corredores,18.7,17.7
Corredores,18.3,20.2
Garabito,27.3,29.5
Garabito,26.6,19.8
Garabito,12.2,15.0
Limón,35.8,24.0
Limón,23.2,15.0
Limón,18.2,19.3
Pococí,24.3,28.3
Pococí,16.8,22.8
Pococí,17.1,15.0
Siquirres,21.3,20.8
Siquirres,14.5,12.2
Siquirres,18.6,19.5
Talamanca,22.4,27.8
Talamanca,12.1,18.4
Talamanca,21.5,18.0
Matina,18.2,29.5
Matina,8.4,20.7
Matina,24.3,16.3
Guácimo,19.8,25.7
Guácimo,11.5,18.5
Guácimo,17.0,15.9
